start_time_ms,open,high,low,close,volume,turnover
1755820800000,112462.7,113499.9,112277.2,112903.7,9363.3,1058235416.3025
1755835200000,112903.7,113364.4,112667.8,113050.8,5809.095,656716392.9323
1755849600000,113050.8,113280,112137.8,112280,7320.209,825235362.8179
1755864000000,112280,117276.2,111618.8,116313.7,62201.895,7129736737.51
1755878400000,116313.7,117374.5,116042.1,116604.4,19276.893,2248416938.7048
1755892800000,116604.4,117144.6,116518.3,116899.8,6878.312,803609353.2938
1755907200000,116899.8,116998,115432,115530.1,10243.135,1188653694.4251
1755921600000,115530.1,116000,115503.9,115788.4,4884.633,565606772.6996
1755936000000,115788.4,115861.5,115180,115270,4642.707,536424926.0626
1755950400000,115270,115457.9,114504.7,114792.4,13557.75,1557739354.0261
1755964800000,114792.4,115206.5,114660.9,115136.8,5193.9,597422837.1686
1755979200000,115136.8,115413,114985.8,115404.8,2452.561,282580931.7513
1755993600000,115404.8,115656.7,114943.1,115042.5,5591.194,644798080.5646
1756008000000,115042.5,115284.5,114846,114880.7,3040.78,349780260.1415
1756022400000,114880.7,115078.1,114602,114745.2,4757.169,546094994.1996
1756036800000,114745.2,114887.8,114312.8,114420.1,8162.381,935545427.4856
1756051200000,114420.1,114950,110551,112595.1,39417.701,4452166985.0052
1756065600000,112595.1,113677.4,111626,113474.8,16230.964,1830270260.4272
1756080000000,113474.8,113649.9,112133.4,112890,11480.902,1296540890.8506
1756094400000,112890,113040,111257.5,111466.7,18341.951,2055350789.689
1756108800000,111466.7,111828.8,110906.9,111199.9,16415.604,1827586699.4606
1756123200000,111199.9,112576.5,110552,112172.3,20922.524,2335264009.1731
1756137600000,112172.3,112945.4,110600,110664.1,16697.041,1871206673.3848
1756152000000,110664.1,111083,109222.6,110069.7,31922.271,3511085563.4547
1756166400000,110069.7,110069.7,108669,109846,17172.018,1879231236.364
1756180800000,109846,110499.9,109706.1,110259.1,8944.842,984786285.4037
1756195200000,110259.1,110415.4,109527.9,109853,8237.502,906533804.3954
1756209600000,109853,110793.1,109334.2,109623,21147.404,2327362326.8578
1756224000000,109623,111120.5,109412.5,111086.2,11713.07,1292253192.1147
1756238400000,111086.2,112342.4,110874,111723.1,10519.732,1174479737.8585
1756252800000,111723.1,111801,110877.7,111387.5,7700,857198457.5437
1756267200000,111387.5,111699.6,110582.7,110686,6311.701,701615890.0594
1756281600000,110686,111330.6,110312.1,111265,6370.653,706053794.7728
1756296000000,111265,112589.9,110951.4,111961.2,16796.74,1877047200.0819
1756310400000,111961.2,112588,111500,112037.4,9320.484,1044505733.7366
1756324800000,112037.4,112444.2,110823.9,111184.3,16618.977,1854776825.0936
1756339200000,111184.3,111990.2,110781.5,111945.9,5995.346,668232189.9081
1756353600000,111945.9,113345.4,111888.3,113077,11921.362,1345479228.093
1756368000000,113077,113310,112772.9,112880.2,5509.586,622684672.7913
1756382400000,112880.2,113433,112330.1,112620.5,13659.199,1541460356.912
1756396800000,112620.5,113150,111828,111842.6,10858.508,1220288818.9092
1756411200000,111842.6,112538.3,111810.1,112511.4,6012.781,674259638.7814
1756425600000,112511.4,112616.4,111250,111642,9685.155,1082070969.2327
1756440000000,111642,111800,109832.5,109946.7,14493.587,1605171158.6655
1756454400000,109946.7,110220,109346.7,110039.5,12848.76,1410819481.8787
1756468800000,110039.5,111490.7,108063.3,108336.7,35863.268,3924038419.3144
1756483200000,108336.7,108788,107888,108180.8,11317.474,1226086014.4735
1756497600000,108180.8,108530.4,107432.6,108355.3,11344.374,1224805997.5145
1756512000000,108355.3,108398,107300,108393.9,7674.033,828384985.3202
1756526400000,108393.9,108637.8,108075,108466.8,5141.158,557102054.5324
1756540800000,108466.8,108739.5,108376,108652.3,3958.408,429704859.7678
1756555200000,108652.3,108902.3,108176,108834.7,6451.695,700395868.1865
1756569600000,108834.7,108900,108583.3,108814.5,3096.432,336735345.8658
1756584000000,108814.5,108821,108436.9,108780.7,2932.073,318418382.6627
1756598400000,108780.7,109444,108763.9,109179.3,6424.515,701501872.794
1756612800000,109179.3,109191.1,108455,108640.4,4888.834,531444079.0511
1756627200000,108640.4,109065.4,108237.1,108335,7315.783,794404355.7418
1756641600000,108335,108814.7,108135.9,108750,5937.996,643657232.0772
1756656000000,108750,109197.5,108485.3,108887.9,4796.621,522218106.1855
1756670400000,108887.9,109199.1,108008.4,108200,7353.855,798862654.2024
1756684800000,108200,108447.3,107340,107607.5,13245.115,1428024444.4343
1756699200000,107607.5,109394.5,107202,109390,14153.699,1531162890.5938
1756713600000,109390,109872.8,108150,108741.7,17602.001,1921093045.2806
1756728000000,108741.7,109491.4,108529.5,108749.1,11993.682,1307592193.4601
1756742400000,108749.1,109300,108351,109188.4,6826.951,743207856.3073
1756756800000,109188.4,109423.4,107408,109191.8,16252.206,1760994983.9668
1756771200000,109191.8,110595,108850,110302.8,12754.642,1399579471.2446
1756785600000,110302.8,110590,109953,110200,6180.443,681247326.8241
1756800000000,110200,110767,109518.1,109700,9746.668,1074182332.2859
1756814400000,109700,111730,108320.7,110793.9,40130.691,4424025359.8507
1756828800000,110793.9,111102.5,110142,110746.8,10544.822,1166860179.7397
1756843200000,110746.8,111534,110655.6,111217.7,8778.065,975547201.8649
1756857600000,111217.7,111771.6,110851.8,111001.4,7300.071,812234187.0793
1756872000000,111001.4,111138.6,110476.8,111050.2,4981.308,551866583.4662
