start_time_ms,open,high,low,close,volume,turnover
1755820800000,4224.08,4888,4206.26,4831.62,4565163.07,20813348510.2048
1755907200000,4831.62,4831.7,4661.39,4776.12,1561312.87,7392528892.4922
1755993600000,4776.12,4957.96,4706.11,4779.11,2587315.21,12443626372.8974
1756080000000,4779.11,4798.07,4330.39,4374,3577926.32,16328483895.511
1756166400000,4374,4631.99,4308.6,4597.94,2712203.3,12133102121.1708
1756252800000,4597.94,4663,4477.8,4504.73,2217284.51,10166995881.2088
1756339200000,4504.73,4632.47,4425.61,4508.69,1738687.45,7882151190.5185
1756425600000,4508.69,4515.59,4260,4358.91,2519473.69,11006482311.7899
1756512000000,4358.91,4414,4255.01,4372.76,1106639.02,4818163738.222
1756598400000,4372.76,4496.43,4371.2,4389.43,1277881.38,5689005059.5188
1756684800000,4389.43,4490,4210,4312.81,2131634.03,9305700671.558
1756771200000,4312.81,4414.74,4254.02,4324.97,2225942.93,9640023750.9781
1756857600000,4324.97,4488.86,4281.34,4448.4,1598856.49,7026727153.0778
1756944000000,4448.4,4481.28,4262.21,4295.45,2026901.69,8835970061.0899
1757030400000,4295.45,4494.38,4252.95,4306.37,2532276.74,11032818943.1702
1757116800000,4306.37,4327.27,4232.95,4271.83,747131.93,3199515381.9083
1757203200000,4271.83,4335,4268.44,4304.06,730190.45,3136538511.1119
1757289600000,4304.06,4383,4276.64,4304.55,1601791.81,6918865648.4136
1757376000000,4304.55,4380,4274.11,4308.67,1479664,6389750911.0379
1757462400000,4308.67,4452.18,4282.14,4347.51,1746913.88,7607562604.8538
1757548800000,4347.51,4484.77,4337,4457.11,1776947.87,7846808439.0177
1757635200000,4457.11,4754.08,4447.94,4710.31,1942699.99,8895836809.0834
1757721600000,4710.31,4766.07,4605,4665.47,1188462.23,5566866606.9646
1757808000000,4665.47,4692.87,4575.1,4603.52,1153193.42,5337847821.8916
1757894400000,4603.52,4668.93,4463.5,4521.64,1772805.24,8058103930.7982
1757980800000,4521.64,4536.5,4421.1,4499.63,1340947.62,6013701851.787
1758067200000,4499.63,4616.66,4400.81,4588.79,2152252.88,9686899926.7463
1758153600000,4588.79,4643.71,4551.01,4585.05,1319774.16,6065284581.0177
1758240000000,4585.05,4618.92,4431,4467.83,1448452.87,6535036514.6079
1758326400000,4467.83,4508,4452.55,4478.94,506990.26,2271179970.1611
1758412800000,4478.94,4497.7,4440.03,4443.11,542460.85,2424886491.803
1758499200000,4443.11,4454.6,4046.73,4196.41,2614406.43,11020854556.9437
1758585600000,4196.41,4228.84,4110.94,4162.25,1217935.06,5086919307.7067
1758672000000,4162.25,4205.9,4070.45,4150.28,1243512.49,5170701757.2828
1758758400000,4150.28,4159,3821.26,3872.05,3292327.23,13079212646.5682
1758844800000,3872.05,4067.82,3864.98,4029.69,1850391.19,7318902960.1724
1758931200000,4029.69,4037.6,3970.48,4016.9,663882.37,2658762836.1379
1759017600000,4016.9,4143,3960.98,4139.5,845333.87,3412276831.6759
1759104000000,4139.5,4234.8,4079,4212.56,1285118.36,5337095782.5712
1759190400000,4212.56,4244.74,4089.48,4143.41,1405036.4,5838213033.4602
1759276800000,4143.41,4353.85,4121.11,4346,1587090.24,6766124900.2237
1759363200000,4346,4515.77,4330.26,4481.74,1863437.97,8220121316.4902
1759449600000,4481.74,4592.59,4425.38,4511.2,1689023.96,7595974050.4429
1759536000000,4511.2,4516.67,4437.65,4485.74,700017.04,3136303452.7246
1759622400000,4485.74,4618.86,4464.97,4511.97,1445666.01,6564383488.9096
1759708800000,4511.97,4733.96,4485.27,4681.76,1450167.22,6696098533.2676
1759795200000,4681.76,4755.7,4425.75,4445.65,2435597.32,11169019357.174
1759881600000,4445.65,4556.78,4409.59,4524.4,1392444.73,6240614541.4978
1759968000000,4524.4,4530.24,4262.82,4367.14,1840623.88,8040774843.7792
1760054400000,4367.14,4392.9,3311.76,3823.77,4849187.61,19178522922.014
1760140800000,3823.77,3873.88,3637.48,3745.01,1844974.06,6979430488.0661
1760227200000,3745.01,4196.97,3690.49,4150.3,2328500.64,9251923166.5881
1760313600000,4150.3,4290,4034.23,4239.36,1865443.81,7755617487.4564
1760400000000,4239.36,4262,3885,4122.81,3132986.98,12668882288.9655
1760486400000,4122.81,4215.43,3923.01,3983.61,2020052.68,8186914420.0547
1760572800000,3983.61,4084,3822.74,3892.37,2161040.43,8559232623.8801
1760659200000,3892.37,3949.59,3672,3829.88,2403633.29,9124167033.8567
1760745600000,3829.88,3926.99,3817,3886.9,694413.78,2691064854.9613
1760832000000,3886.9,4031.62,3824.1,3980.97,1246728.33,4905877110.3304
1760918400000,3980.97,4084.83,3906.5,3977.84,1446456.08,5779071899.0128
1761004800000,3977.84,4110,3837.47,3870.7,2648107.97,10462869808.849
1761091200000,3870.7,3888.29,3703.14,3803.73,2089592.86,7982894227.6108
1761177600000,3803.73,3935,3794.6,3855.12,1454554.45,5617661915.22
1761264000000,3855.12,4029.3,3843.25,3933.76,1484227.68,5837763403.4746
1761350400000,3933.76,3968.59,3910.84,3952.01,483599.21,1904458538.1871
1761436800000,3952.01,4179.42,3913.4,4157.96,1072217.18,4341658386.6977
1761523200000,4157.96,4254.61,4092.55,4117.9,1633389.6,6819069312.0888
1761609600000,4117.9,4174.83,3929.2,3976.81,1725761.22,7034212122.1063
1761696000000,3976.81,4037.12,3834.28,3900.65,1711254.8,6765428104.0996
1761782400000,3900.65,3947.67,3675.55,3803.06,1982320.75,7572730712.2618
1761868800000,3803.06,3905.45,3794.25,3845.8,1298804.86,4995089454.5152
1761955200000,3845.8,3908,3827.09,3871.8,437856.18,1693882965.2195
1762041600000,3871.8,3917.01,3836.45,3905.15,666239.16,2580779386.9989
1762128000000,3905.15,3914.02,3554.05,3601.83,2417760.41,8903016213.0416
1762214400000,3601.83,3653.68,3051.42,3284.8,3717449.6,12546495845.2988
1762300800000,3284.8,3478.87,3165,3422.79,2121236.86,7087516029.5529
1762387200000,3422.79,3455,3242.67,3313.62,1857633.78,6217092374.9234
1762473600000,3313.62,3471.93,3191.51,3434.39,1824431.7,6059009394.0684
1762560000000,3434.39,3487.19,3353.29,3400.54,978394.72,3344297895.3083
1762646400000,3400.54,3622.07,3356.53,3581.23,1241121.33,4328028389.5106
