start_time_ms,open,high,low,close,volume,turnover
1755820800000,4224.08,4244.33,4222,4241.68,22456.2,95074282.5309
1755822600000,4241.68,4254.93,4233.31,4244.74,18235.74,77423434.2945
1755824400000,4244.74,4249.9,4220.12,4245.99,20232.96,85732818.4048
1755826200000,4245.99,4264.98,4235.95,4255.85,26647.94,113358924.1371
1755828000000,4255.85,4314.21,4249.08,4307.51,90658.92,388613290.3555
1755829800000,4307.51,4308.39,4285,4289.72,59334.87,254938521.7745
1755831600000,4289.72,4299.76,4274.34,4275.03,25242.4,108193581.9762
1755833400000,4275.03,4282.92,4263.21,4277.07,35971.75,153661286.7052
1755835200000,4277.07,4306.82,4275.15,4291.73,42410.13,182085920.7217
1755837000000,4291.73,4297.93,4271.91,4280.18,22984.23,98444986.1988
1755838800000,4280.18,4286.36,4273.43,4279.38,21294.6,91124919.2441
1755840600000,4279.38,4292.62,4271,4289.23,20599.27,88246763.7622
1755842400000,4289.23,4318.61,4282.82,4309.76,46375.09,199527041.8869
1755844200000,4309.76,4313.65,4278.11,4293.73,35080.4,150553853.2607
1755846000000,4293.73,4338.74,4290,4336.7,68697.91,296726910.2114
1755847800000,4336.7,4344.03,4323.3,4326.08,39282.77,170220826.989
1755849600000,4326.08,4351.84,4325.01,4348.72,41670.46,180968472.8257
1755851400000,4348.72,4353,4325.06,4328.01,34689.78,150485567.3834
1755853200000,4328.01,4330.99,4303.86,4314.1,55546.92,239784879.1562
1755855000000,4314.1,4330.8,4305.75,4327.93,29416.27,127124450.6559
1755856800000,4327.93,4329.41,4305.81,4313.33,32477.78,140179793.3955
1755858600000,4313.33,4313.99,4288,4294.9,41456.24,178201927.2157
1755860400000,4294.9,4298.63,4274.56,4279.19,47924.51,205247227.0705
1755862200000,4279.19,4288.5,4270.98,4272.97,37259.23,159466705.0752
1755864000000,4272.97,4275.91,4221.7,4228.32,129074.8,547534932.1177
1755865800000,4228.32,4263.35,4206.26,4243.27,132713.66,561687055.4384
1755867600000,4243.27,4260,4231.45,4259.37,65351.95,277643737.6541
1755869400000,4259.37,4320.38,4243.26,4288.94,150753.06,646923811.3854
1755871200000,4288.94,4646.97,4288.13,4577.01,949127.2,4278822202.8745
1755873000000,4577.01,4645.55,4570.95,4611.64,277048.02,1277594255.2672
1755874800000,4611.64,4666.61,4610.83,4634.15,160083.68,743353555.1808
1755876600000,4634.15,4658,4613,4613.88,119959.93,557026244.0811
1755878400000,4613.88,4770.41,4613.39,4743.59,310761.25,1466107948.7227
1755880200000,4743.59,4779.9,4735.52,4745.01,102070.9,484949455.6069
1755882000000,4745.01,4848.7,4744.78,4843.69,248594.04,1194441998.8476
1755883800000,4843.69,4848.49,4783.06,4799,150915.82,725769911.1993
1755885600000,4799,4805.62,4753.4,4772,125594.12,600245202.6472
1755887400000,4772,4804.79,4770.4,4790.01,58728.63,281287123.9296
1755889200000,4790.01,4824.11,4782.87,4821.71,60021.2,288551618.6243
1755891000000,4821.71,4859.99,4809.18,4832.36,90094.78,435502896.3057
1755892800000,4832.36,4846.64,4810.07,4832.51,69690.83,336408952.5257
1755894600000,4832.51,4867.99,4820.93,4848.79,87391.12,423116625.2548
1755896400000,4848.79,4888,4837.5,4879.79,149184.11,726084946.0894
1755898200000,4879.79,4887.47,4841.4,4852.52,51021.6,248094867.546
1755900000000,4852.52,4856.91,4812.69,4821.31,65714.82,317394809.4534
1755901800000,4821.31,4828.31,4794.35,4810.61,45050.89,216692072.9752
1755903600000,4810.61,4837.67,4808,4833.61,31504.21,151976058.9664
1755905400000,4833.61,4847.82,4825.67,4831.62,18766.08,90751842.2798
1755907200000,4831.62,4831.7,4803,4821.29,41887.94,201722286.2186
1755909000000,4821.29,4826.57,4803.05,4807.6,17899.13,86139439.2454
1755910800000,4807.6,4817.8,4772.09,4772.11,41018.96,196486230.9894
1755912600000,4772.11,4790.15,4758,4780.8,50967.46,243166882.7591
1755914400000,4780.8,4792.37,4708,4709.22,86936.03,412623037.5521
1755916200000,4709.22,4725.38,4661.39,4714.5,174042.06,816979348.2677
1755918000000,4714.5,4723.76,4690.23,4714.4,65791.07,309759174.4632
1755919800000,4714.4,4715.93,4675,4695.19,43948.78,206216538.344
1755921600000,4695.19,4717.14,4694.01,4714.88,25089.14,118095476.3178
1755923400000,4714.88,4747.82,4711.2,4746.69,71834.94,339855628.7819
1755925200000,4746.69,4751.11,4727.6,4739.42,34528.64,163657175.0764
1755927000000,4739.42,4765.82,4739.06,4750,39750.66,188933710.9608
1755928800000,4750,4762.21,4733.56,4750.82,37004.66,175539666.6277
1755930600000,4750.82,4756.08,4735.25,4745.17,32433.53,153911201.9996
1755932400000,4745.17,4750.72,4719.8,4723.67,21526.56,101896262.3895
1755934200000,4723.67,4735.9,4707,4712.99,37289.26,175976563.7621
1755936000000,4712.99,4727,4696.73,4702.27,37849.34,178278012.4225
1755937800000,4702.27,4729.38,4700,4717.44,22482.63,106066505.3453
1755939600000,4717.44,4726.12,4706.34,4718.64,23820.18,112368635.9123
1755941400000,4718.64,4741.9,4716.43,4738,28731.68,135999211.3276
1755943200000,4738,4746,4711.8,4722.2,36216.79,171222399.6276
1755945000000,4722.2,4725.68,4710.48,4711.99,11789.18,55605210.4207
1755946800000,4711.99,4729.95,4707.3,4713.99,16097.81,76000201.2804
1755948600000,4713.99,4721.88,4688,4703.8,37131.26,174656553.4392
1755950400000,4703.8,4728.23,4691.2,4718.51,33663.93,158660533.9604
1755952200000,4718.51,4734.56,4706.32,4713.94,28324.76,133700149.1031
1755954000000,4713.94,4725.68,4706.32,4719.04,12290.43,57979671.5796
1755955800000,4719.04,4734,4708,4717.14,33138.56,156422839.6721
1755957600000,4717.14,4754.75,4713.86,4747.68,44032.64,208755312.6697
1755959400000,4747.68,4756.61,4714.62,4725.6,52906.67,250297072.6483
1755961200000,4725.6,4750.8,4720.02,4743.35,28735.64,136092032.2972
1755963000000,4743.35,4767.93,4736.64,4748.8,35399.82,168291013.9868
1755964800000,4748.8,4760.57,4742.67,4752.56,30613.74,145483386.397
1755966600000,4752.56,4754.07,4741.4,4741.4,16848.53,79969463.8004
1755968400000,4741.4,4750.85,4724.15,4729.78,32383.72,153433614.5506
1755970200000,4729.78,4748.7,4729.1,4747.66,17813.52,84485407.7121
1755972000000,4747.66,4757.84,4741.11,4744.57,14745.9,70041379.3527
1755973800000,4744.57,4753.06,4742.61,4751.69,5242.24,24891952.1674
1755975600000,4751.69,4759.86,4744.37,4746.64,9770.08,46443751.0748
1755977400000,4746.64,4759.2,4745.73,4756.71,10357.79,49247024.5976
1755979200000,4756.71,4758,4745.99,4754.09,10200.55,48463737.9058
1755981000000,4754.09,4755.8,4739.49,4749.27,9213.85,43756290.9569
1755982800000,4749.27,4751.25,4735.88,4736.22,11578.14,54926001.0224
1755984600000,4736.22,4749.16,4735.3,4747.72,6165.84,29251207.9564
1755986400000,4747.72,4763.83,4747.08,4760.53,11448.97,54451689.9712
1755988200000,4760.53,4786.51,4754.26,4779.88,26724.15,127567845.853
1755990000000,4779.88,4795.96,4778.4,4783.86,28953.46,138617536.1043
1755991800000,4783.86,4783.87,4765.4,4776.12,14692.25,70144623.6215
1755993600000,4776.12,4793.94,4771.42,4790.69,15613.55,74675441.7842
1755995400000,4790.69,4816.87,4787.8,4796.16,51507.54,247404354.2921
1755997200000,4796.16,4797.44,4756.49,4770,38865.77,185452467.7056
1755999000000,4770,4794.99,4766.51,4775.16,25034.87,119746981.4442
1756000800000,4775.16,4787.97,4770.22,4787.01,12920.34,61761205.5198
1756002600000,4787.01,4789.99,4771.06,4774.34,14462.25,69127122.2096
1756004400000,4774.34,4775.84,4749.82,4761.54,23270.71,110789161.7769
1756006200000,4761.54,4796.13,4761.54,4787.74,21307.51,101912517.5907
1756008000000,4787.74,4799.48,4776.22,4776.41,14865.08,71170903.4231
1756009800000,4776.41,4792.41,4775.05,4792.25,10054.87,48097362.2979
1756011600000,4792.25,4793.29,4781.87,4789.95,11676.62,55917302.3512
1756013400000,4789.95,4790.5,4776.92,4782.26,16925.92,80932789.0882
1756015200000,4782.26,4785.73,4765,4775.34,16917.24,80780053.4503
1756017000000,4775.34,4776.69,4755,4758.88,23777.79,113273369.8496
1756018800000,4758.88,4783.15,4756.29,4778.72,21295.35,101592594.9516
1756020600000,4778.72,4783.43,4756.35,4757.22,17955.26,85586816.3514
1756022400000,4757.22,4775.27,4743,4770.42,33009.07,157103176.2357
1756024200000,4770.42,4777.6,4766.54,4775.23,9019.57,43058917.032
1756026000000,4775.23,4778.75,4759.16,4774.09,20476.53,97643842.4359
1756027800000,4774.09,4784.99,4770,4770.46,14238.7,68046597.0269
1756029600000,4770.46,4773.8,4744.67,4748.18,28675.73,136371234.2687
1756031400000,4748.18,4753.44,4730.91,4738.03,37473.7,177624487.2092
1756033200000,4738.03,4746.46,4716.48,4737.2,41371.62,195676801.5437
1756035000000,4737.2,4749.99,4731.25,4746.33,20598.64,97689607.7134
1756036800000,4746.33,4757.23,4740,4744.56,22782.96,108200054.0189
1756038600000,4744.56,4755.82,4736.64,4753.61,13452.74,63862189.3632
1756040400000,4753.61,4779.99,4752.48,4772.29,39518.86,188446591.626
1756042200000,4772.29,4779.13,4760.01,4768.41,22163.68,105693151.1242
1756044000000,4768.41,4791,4757.93,4779.06,38570.07,184141458.1197
1756045800000,4779.06,4799.46,4773.55,4793.29,26954.66,129109587.5169
1756047600000,4793.29,4830,4783.37,4815.22,95148.87,457880670.481
1756049400000,4815.22,4825.95,4793.63,4796.41,50083.2,240805478.6272
1756051200000,4796.41,4828.77,4793.5,4816.96,60005.22,288877861.5891
1756053000000,4816.96,4841.98,4807.6,4820.34,37671.06,181842204.1095
1756054800000,4820.34,4878,4819.48,4857.5,102544.55,497949505.5381
1756056600000,4857.5,4937.3,4849.99,4904.32,168127.75,823791040.1405
1756058400000,4904.32,4957.96,4895.69,4941.67,102226.07,504028529.5316
1756060200000,4941.67,4956.77,4917.85,4934.4,73808.56,364261860.2353
1756062000000,4934.4,4956.93,4932.16,4937.44,51779.78,255995808.9846
1756063800000,4937.44,4938.97,4743.49,4813.14,500430.78,2410723311.1303
1756065600000,4813.14,4815,4706.11,4793.17,269251.46,1282005862.0644
1756067400000,4793.17,4810.84,4779.13,4785.55,56532.95,270986908.8914
1756069200000,4785.55,4799,4751.8,4791.82,70339.65,335807859.5449
1756071000000,4791.82,4823,4771.14,4783.36,50442.87,242284447.0166
1756072800000,4783.36,4792.5,4727.31,4727.87,73503.32,349748216.8468
1756074600000,4727.87,4781.38,4722.16,4780.43,53607.38,254708291.2498
1756076400000,4780.43,4803.6,4772.04,4795.07,38455.85,184164374.5973
1756078200000,4795.07,4804,4771.43,4779.11,28598.69,136876002.9982
1756080000000,4779.11,4798.07,4758,4760.73,36000.96,171990418.9063
1756081800000,4760.73,4761.23,4668.33,4699.21,139691.09,657225881.5078
1756083600000,4699.21,4744.54,4697.53,4737.19,48085.29,227034612.283
1756085400000,4737.19,4738.1,4712.88,4730.42,25377.85,119943593.0848
1756087200000,4730.42,4774,4725.34,4761.5,42541.67,202314168.474
1756089000000,4761.5,4774.77,4751.51,4763,20867.11,99390528.9882
1756090800000,4763,4773,4736.57,4739.86,30722.96,146065570.5366
1756092600000,4739.86,4756.35,4718.91,4725.71,39398.99,186632006.6027
1756094400000,4725.71,4738.1,4706.76,4710.32,33463.77,157918456.6007
1756096200000,4710.32,4723.2,4691.27,4717.42,48893.73,230106465.7666
1756098000000,4717.42,4726.9,4700.25,4724.99,29326,138252957.6313
1756099800000,4724.99,4729.64,4702.77,4703.56,24220.15,114187177.5336
1756101600000,4703.56,4707,4652.21,4675.41,76933.17,359966121.0263
1756103400000,4675.41,4678.63,4615,4629.43,116913.52,542391542.0697
1756105200000,4629.43,4651.53,4620.1,4620.71,61640.01,285860680.0623
1756107000000,4620.71,4633.35,4579.61,4589.75,124402.4,572589139.0222
1756108800000,4589.75,4610.94,4555,4600.22,115480.61,529334842.123
1756110600000,4600.22,4614.77,4589.38,4597.15,45028.77,207280353.399
1756112400000,4597.15,4608.17,4568.19,4583.82,67379.78,309149237.6661
1756114200000,4583.82,4612.7,4580,4611.56,33693.04,154956679.5246
1756116000000,4611.56,4611.56,4530,4551.31,112481.47,513314461.3298
1756117800000,4551.31,4560.78,4518,4542.59,102945.2,467497445.4259
1756119600000,4542.59,4574,4542,4566.8,43823.67,199764274.9085
1756121400000,4566.8,4598.56,4566.34,4597.7,67316.97,308874713.1975
1756123200000,4597.7,4621.67,4583,4620,60481.69,278547640.5913
1756125000000,4620,4646.23,4601.15,4644.76,65924.08,304827531.6066
1756126800000,4644.76,4660.97,4617.86,4651.01,88673.31,411412391.0669
1756128600000,4651.01,4656.09,4588.82,4627.81,159274.6,736374530.6384
1756130400000,4627.81,4682.88,4617.6,4646.89,111827.37,520948875.4372
1756132200000,4646.89,4667.3,4632.3,4657.33,44273.3,205866286.6898
1756134000000,4657.33,4667,4623.37,4630,54397.8,252303135.8446
1756135800000,4630,4637.39,4603.36,4610.36,50637.95,233741352.5142
